2018-06-20 22:15:37,359 [          ORADBUtil.java:main:117] - UserID ALewis could not be deleted on: localhost/xe
2018-06-20 22:15:37,359 [          ORADBUtil.java:main:118] - =====
2018-06-20 22:15:37,359 [          ORADBUtil.java:main:59] - hostname: somehost.com
2018-06-20 22:15:37,360 [          ORADBUtil.java:main:60] - port: 9999
2018-06-20 22:15:37,360 [          ORADBUtil.java:main:61] - instance: instance
2018-06-20 22:15:37,360 [          ORADBUtil.java:main:69] - Connecting to somehost.com:9999:instance
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:107] - SQLException 1
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:110] - Error Message: IO Error: The Network Adapter could not establish the connection
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:116] - Error: IO Error: The Network Adapter could not establish the connection
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:117] - UserID ALewis could not be deleted on: somehost.com/instance
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:118] - =====
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:46] - Dropping username: DDorsey
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:59] - hostname: localhost
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:60] - port: 1521
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:61] - instance: xe
2018-06-20 22:15:58,363 [          ORADBUtil.java:main:69] - Connecting to localhost:1521:xe
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:107] - SQLException 1
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:110] - Error Message: IO Error: The Network Adapter could not establish the connection
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:116] - Error: IO Error: The Network Adapter could not establish the connection
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:117] - UserID DDorsey could not be deleted on: localhost/xe
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:118] - =====
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:59] - hostname: somehost.com
2018-06-20 22:16:00,370 [          ORADBUtil.java:main:60] - port: 9999
2018-06-20 22:16:00,371 [          ORADBUtil.java:main:61] - instance: instance
2018-06-20 22:16:00,371 [          ORADBUtil.java:main:69] - Connecting to somehost.com:9999:instance
2018-06-20 22:16:21,374 [          ORADBUtil.java:main:107] - SQLException 1
